"ID","ClassName","LastEdited","Created","SensorType","TDS","CO2PPM","Temperature","PressureHpa","HumidityPct","RecordedAt","Comment","SensorID"
"1","SensorReading","2026-04-17 23:09:40","2026-04-17 23:09:40","Air","0.00","1096","24.1","1001.5","47","2026-04-17 23:09:40",NULL,"3"
"5","SensorReading","2026-04-17 23:09:44","2026-04-17 23:09:44","Air","0.00","1096","24.0","1001.3","47","2026-04-17 23:09:44",NULL,"3"
"7","SensorReading","2026-04-17 23:09:46","2026-04-17 23:09:46","Air","0.00","1100","24.1","1001.5","47","2026-04-17 23:09:46",NULL,"3"
"11","SensorReading","2026-04-17 23:09:53","2026-04-17 23:09:53","Air","0.00","1105","24.3","1001.9","47","2026-04-17 23:09:53",NULL,"3"
"15","SensorReading","2026-04-17 23:09:57","2026-04-17 23:09:57","Air","0.00","1105","24.1","1001.5","47","2026-04-17 23:09:57",NULL,"3"
"17","SensorReading","2026-04-17 23:10:01","2026-04-17 23:10:01","Air","0.00","1106","24.2","1001.6","47","2026-04-17 23:10:01",NULL,"3"
"19","SensorReading","2026-04-17 23:10:03","2026-04-17 23:10:03","Air","0.00","1106","24.3","1001.7","47","2026-04-17 23:10:03",NULL,"3"
"21","SensorReading","2026-04-17 23:10:05","2026-04-17 23:10:05","Air","0.00","1106","24.4","1001.8","46","2026-04-17 23:10:05",NULL,"3"
"23","SensorReading","2026-04-17 23:10:07","2026-04-17 23:10:07","Air","0.00","1108","24.4","1001.9","46","2026-04-17 23:10:07",NULL,"3"
"25","SensorReading","2026-04-17 23:10:10","2026-04-17 23:10:10","Air","0.00","1108","24.5","1002.0","46","2026-04-17 23:10:10",NULL,"3"
"27","SensorReading","2026-04-17 23:10:12","2026-04-17 23:10:12","Air","0.00","1108","24.5","1002.0","46","2026-04-17 23:10:12",NULL,"3"
"29","SensorReading","2026-04-17 23:10:14","2026-04-17 23:10:14","Air","0.00","1108","24.5","1002.0","46","2026-04-17 23:10:14",NULL,"3"
"31","SensorReading","2026-04-17 23:10:16","2026-04-17 23:10:16","Air","0.00","1108","24.3","1001.6","47","2026-04-17 23:10:16",NULL,"3"
"38","SensorReading","2026-04-17 23:10:26","2026-04-17 23:10:26","Air","0.00","1108","24.6","1002.0","46","2026-04-17 23:10:26",NULL,"3"
"41","SensorReading","2026-04-17 23:10:28","2026-04-17 23:10:28","Air","0.00","1108","24.3","1001.5","46","2026-04-17 23:10:28",NULL,"3"
"44","SensorReading","2026-04-17 23:10:31","2026-04-17 23:10:31","Air","0.00","1108","24.4","1001.7","46","2026-04-17 23:10:31",NULL,"3"
"47","SensorReading","2026-04-17 23:10:36","2026-04-17 23:10:36","Air","0.00","1109","24.5","1001.9","47","2026-04-17 23:10:36",NULL,"3"
"50","SensorReading","2026-04-17 23:10:39","2026-04-17 23:10:39","Air","0.00","1109","24.6","1001.9","47","2026-04-17 23:10:39",NULL,"3"
"52","SensorReading","2026-04-17 23:10:41","2026-04-17 23:10:41","Air","0.00","1109","24.6","1002.0","47","2026-04-17 23:10:41",NULL,"3"
"54","SensorReading","2026-04-17 23:10:43","2026-04-17 23:10:43","Air","0.00","1109","24.7","1002.0","47","2026-04-17 23:10:43",NULL,"3"
"56","SensorReading","2026-04-17 23:10:46","2026-04-17 23:10:46","Air","0.00","1109","24.7","1002.0","47","2026-04-17 23:10:46",NULL,"3"
"60","SensorReading","2026-04-17 23:10:52","2026-04-17 23:10:52","Air","0.00","1109","24.8","1002.1","47","2026-04-17 23:10:52",NULL,"3"
"66","SensorReading","2026-04-17 23:11:03","2026-04-17 23:11:03","Air","0.00","1109","24.6","1001.6","47","2026-04-17 23:11:03",NULL,"3"
"70","SensorReading","2026-04-17 23:11:07","2026-04-17 23:11:07","Air","0.00","1109","24.7","1001.8","47","2026-04-17 23:11:07",NULL,"3"
"75","SensorReading","2026-04-17 23:11:15","2026-04-17 23:11:15","Air","0.00","1110","24.6","1001.6","46","2026-04-17 23:11:15",NULL,"3"
"77","SensorReading","2026-04-17 23:11:17","2026-04-17 23:11:17","Air","0.00","1110","24.7","1001.7","46","2026-04-17 23:11:17",NULL,"3"
"79","SensorReading","2026-04-17 23:11:19","2026-04-17 23:11:19","Air","0.00","1108","24.7","1001.8","46","2026-04-17 23:11:19",NULL,"3"
"82","SensorReading","2026-04-17 23:11:23","2026-04-17 23:11:23","Air","0.00","1108","24.8","1001.9","47","2026-04-17 23:11:23",NULL,"3"
"84","SensorReading","2026-04-17 23:11:26","2026-04-17 23:11:26","Air","0.00","1108","24.9","1002.0","47","2026-04-17 23:11:26",NULL,"3"
"86","SensorReading","2026-04-17 23:11:28","2026-04-17 23:11:28","Air","0.00","1108","24.9","1002.0","46","2026-04-17 23:11:28",NULL,"3"
"91","SensorReading","2026-04-17 23:11:35","2026-04-17 23:11:35","Air","0.00","1108","25.0","1002.1","46","2026-04-17 23:11:35",NULL,"3"
"93","SensorReading","2026-04-17 23:11:37","2026-04-17 23:11:37","Air","0.00","1108","24.7","1001.6","46","2026-04-17 23:11:37",NULL,"3"
"99","SensorReading","2026-04-17 23:11:47","2026-04-17 23:11:47","Air","0.00","1108","25.0","1002.0","46","2026-04-17 23:11:47",NULL,"3"
"102","SensorReading","2026-04-17 23:11:50","2026-04-17 23:11:50","Air","0.00","1108","25.0","1002.0","46","2026-04-17 23:11:50",NULL,"3"
"104","SensorReading","2026-04-17 23:11:52","2026-04-17 23:11:52","Air","0.00","1108","25.1","1002.0","46","2026-04-17 23:11:52",NULL,"3"
"106","SensorReading","2026-04-17 23:11:55","2026-04-17 23:11:55","Air","0.00","1108","25.1","1002.0","46","2026-04-17 23:11:55",NULL,"3"
